Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Number of Chromosomes	Assembly Stats Number of Contigs	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_030297255.1	ASM3029725v1	Burkholderia pseudomallei	28450		GTC3P0254T					GCF_030297255.1-RS_2024_06_21	2	2	Complete Genome	16.05.2023		2
GCF_022811565.1	ASM2281156v1	Paenibacillus polymyxa ATCC 842	1036171		ATCC 842					GCF_022811565.1-RS_2025_04_21	2	2	Complete Genome	04.04.2022		2
GCF_001941585.1	ASM194158v1	Legionella pneumophila	446		Philadelphia-1			AE		GCF_001941585.1-RS_2025_03_05	1	1	Complete Genome	10.01.2017		1
GCF_900475625.1	45709_F01	Levilactobacillus brevis	1580		NCTC13768					GCF_900475625.1-RS_2025_04_07	1	1	Complete Genome	17.06.2018		1
GCF_020736045.1	ASM2073604v1	Haemophilus influenzae	727		FDAARGOS_1560					GCF_020736045.1-RS_2024_12_09	1	1	Complete Genome	03.11.2021		1
GCF_000011325.1	ASM1132v1	Corynebacterium glutamicum ATCC 13032	196627		ATCC 13032					GCF_000011325.1-RS_2024_12_11	1	1	Complete Genome	21.01.2005		1
GCF_000069185.1	ASM6918v1	Mycobacteroides abscessus ATCC 19977	561007		ATCC 19977					GCF_000069185.1-RS_2025_03_09	2	2	Complete Genome	01.03.2008		2
GCF_019048385.1	ASM1904838v1	Pantoea agglomerans	549		FDAARGOS 1447					GCF_019048385.1-RS_2025_04_28	3	3	Complete Genome	28.06.2021		3
GCF_019048125.1	ASM1904812v1	Klebsiella aerogenes	548		FDAARGOS 1442					GCF_019048125.1-RS_2025_03_28	1	1	Complete Genome	28.06.2021		1
GCF_000832905.1	ASM83290v1	Heyndrickxia coagulans DSM 1 = ATCC 7050	1121088		ATCC 7050					GCF_000832905.1-RS_2025_04_07	1	1	Complete Genome	05.02.2015		1
GCF_006094455.1	ASM609445v1	Morganella morganii subsp. morganii	180434		ATCC 25830					GCF_006094455.1-RS_2025_04_02	1	1	Complete Genome	06.06.2019		1
GCF_002224265.1	ASM222426v1	Vibrio vulnificus NBRC 15645 = ATCC 27562	1219061		ATCC 27562					GCF_002224265.1-RS_2025_03_05	2	2	Complete Genome	24.07.2017		2
GCF_001888925.1	ASM188892v1	Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046	1217420		DSM 26046					GCF_001888925.1-RS_2025_03_05	1	1	Complete Genome	05.12.2016		1
GCF_000025985.1	ASM2598v1	Bacteroides fragilis NCTC 9343	272559		NCTC 9343					GCF_000025985.1-RS_2024_12_09	2	2	Complete Genome	03.03.2005		2
GCF_000014445.1	ASM1444v1	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	203120		ATCC 8293					GCF_000014445.1-RS_2025_04_11	2	2	Complete Genome	13.10.2006		2
GCF_000022965.1	ASM2296v1	Bifidobacterium animalis subsp. lactis DSM 10140	555970		DSM 10140					GCF_000022965.1-RS_2024_12_11	1	1	Complete Genome	19.06.2009		1
GCF_016026635.1	ASM1602663v1	Staphylococcus pseudintermedius	283734		FDAARGOS_930					GCF_016026635.1-RS_2025_04_06	1	1	Complete Genome	14.12.2020		1
GCF_000010505.1	ASM1050v1	Porphyromonas gingivalis ATCC 33277	431947		ATCC 33277					GCF_000010505.1-RS_2024_12_09	1	1	Complete Genome	21.05.2008		1
GCF_034298135.1	ASM3429813v1	Lactobacillus acidophilus	1579		ATCC 4356					GCF_034298135.1-RS_2024_12_09	1	1	Complete Genome	12.12.2023		1
GCF_014131795.1	ASM1413179v1	Clostridium butyricum	1492		DSM 10702					GCF_014131795.1-RS_2025_04_15	4	4	Complete Genome	10.08.2020		4
GCF_006094395.1	ASM609439v1	Staphylococcus haemolyticus	1283		ATCC 29970					GCF_006094395.1-RS_2025_05_17	3	3	Complete Genome	06.06.2019		3
GCF_036689615.1	ASM3668961v1	Pseudomonas chlororaphis subsp. chlororaphis	333		ATCC 9446					GCF_036689615.1-RS_2025_04_05	1	1	Complete Genome	05.04.2024		1
GCF_002950395.1	ASM295039v1	Shigella sonnei	624		ATCC 29930					GCF_002950395.1-RS_2025_04_16	2	2	Complete Genome	23.02.2018		2
GCF_014131755.1	ASM1413175v1	Bacteroides thetaiotaomicron	818		DSM 2079					GCF_014131755.1-RS_2024_10_23	2	2	Complete Genome	10.08.2020		2
GCF_006739385.1	ASM673938v1	Cutibacterium acnes subsp. acnes	1734925		NBRC 107605					GCF_006739385.1-RS_2025_04_15	1	1	Complete Genome	11.06.2019		1
GCF_900636985.1	45889_C01	Klebsiella oxytoca	571		NCTC13727					GCF_900636985.1-RS_2024_11_26	1	1	Complete Genome	20.12.2018		1
GCF_028891345.1	ASM2889134v1	Xylella fastidiosa	2371		ICMP 15197					GCF_028891345.1-RS_2025_05_05	2	2	Complete Genome	01.03.2023		2
GCF_001025175.1	ASM102517v1	Bifidobacterium breve DSM 20213 = JCM 1192	518634		JCM 1192					GCF_001025175.1-RS_2024_12_11	1	1	Complete Genome	24.03.2015		1
GCF_001729805.1	ASM172980v1	Enterobacter roggenkampii	1812935		DSM 16690					GCF_001729805.1-RS_2025_03_05	2	2	Complete Genome	16.09.2016		2
GCF_900475555.1	44257_B01	Micrococcus luteus NCTC 2665	465515		NCTC 2665					GCF_900475555.1-RS_2024_12_11	1	1	Complete Genome	17.06.2018		1
GCF_019048105.1	ASM1904810v1	Providencia rettgeri	587		FDAARGOS 1450					GCF_019048105.1-RS_2025_03_11	3	3	Complete Genome	28.06.2021		3
GCF_016026695.1	ASM1602669v1	Lactococcus garvieae	1363		FDAARGOS_929					GCF_016026695.1-RS_2024_12_13	2	2	Complete Genome	14.12.2020		2
GCF_000014425.1	ASM1442v1	Lactobacillus gasseri ATCC 33323 = JCM 1131	324831		ATCC 33323					GCF_000014425.1-RS_2025_03_27	1	1	Complete Genome	13.10.2006		1
GCF_000253175.1	ASM25317v1	Yersinia enterocolitica subsp. palearctica Y11	930944		Y11					GCF_000253175.1-RS_2024_12_11	2	2	Complete Genome	20.01.2011		2
GCF_900560965.1	PPRCHA0	Pseudomonas protegens CHA0	1124983		CHA0					GCF_900560965.1-RS_2024_12_13	1	1	Complete Genome	14.03.2019		1
GCF_900476005.1	51438_H01	Aeromonas caviae	648		NCTC12244					GCF_900476005.1-RS_2024_12_11	1	1	Complete Genome	17.06.2018		1
GCF_001750725.1	ASM175072v1	Enterobacter ludwigii	299767		EN-119					GCF_001750725.1-RS_2025_03_05	2	2	Complete Genome	03.10.2016		2
GCF_003290385.1	ASM329038v1	Actinobacillus pleuropneumoniae	715		S4074					GCF_003290385.1-RS_2025_03_28	1	1	Complete Genome	08.07.2018		1
GCF_000829055.1	ASM82905v1	Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393	1423732		ATCC 393					GCF_000829055.1-RS_2025_03_28	3	3	Complete Genome	14.08.2013		3
GCF_000146165.2	ASM14616v2	Shewanella oneidensis MR-1	211586		MR-1					GCF_000146165.2-RS_2025_03_28	2	2	Complete Genome	02.11.2012		2
GCF_022984195.1	ASM2298419v1	Synechococcus elongatus PCC 6301	269084		PCC 6301					GCF_022984195.1-RS_2025_04_10	3	3	Complete Genome	14.04.2022		3
GCF_003641185.1	ASM364118v1	Lactiplantibacillus pentosus	1589		DSM 20314					GCF_003641185.1-RS_2024_12_11	2	2	Complete Genome	15.10.2018		2
GCF_000091545.1	ASM9154v1	Thermus thermophilus HB8	300852		HB8					GCF_000091545.1-RS_2024_12_11	3	3	Complete Genome	15.11.2004		3
GCF_000183155.1	ASM18315v1	Riemerella anatipestifer ATCC 11845 = DSM 15868	693978		DSM 15868					GCF_000183155.1-RS_2024_09_25	1	1	Complete Genome	23.11.2010		1
GCF_001457455.1	NCTC11397	Corynebacterium diphtheriae	1717		NCTC11397					GCF_001457455.1-RS_2025_03_30	1	1	Complete Genome	22.03.2015		1
GCF_002023665.2	ASM202366v2	Elizabethkingia anophelis R26	1246994		R26					GCF_002023665.2-RS_2024_09_25	1	1	Complete Genome	18.09.2017		1
GCF_001642675.1	ASM164267v1	Bradyrhizobium diazoefficiens USDA 110	224911		USDA 110					GCF_001642675.1-RS_2025_04_07	1	1	Complete Genome	12.05.2016		1
GCF_018223745.1	ASM1822374v1	Clostridium beijerinckii	1520		DSM 791					GCF_018223745.1-RS_2025_03_17	2	2	Complete Genome	02.05.2021		2
GCF_003019295.1	ASM301929v1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	190304		ATCC 25586					GCF_003019295.1-RS_2024_09_23	1	1	Complete Genome	26.03.2018		1
GCF_000183385.1	ASM18338v1	Mycoplasmopsis bovis PG45	289397		PG45					GCF_000183385.1-RS_2025_04_07	1	1	Complete Genome	30.11.2010		1
GCF_900474615.1	40295_D02	Mammaliicoccus sciuri	1296		NCTC12103					GCF_900474615.1-RS_2024_12_11	1	1	Complete Genome	18.06.2018		1
GCF_900637475.1	51108_B01	Yersinia pseudotuberculosis	633		NCTC10275					GCF_900637475.1-RS_2024_12_13	1	1	Complete Genome	20.12.2018		1
GCF_000083545.1	ASM8354v1	Methylorubrum extorquens DM4	661410		DM4					GCF_000083545.1-RS_2025_05_16	3	3	Complete Genome	17.07.2009		3
GCF_004101845.1	ASM410184v1	Latilactobacillus curvatus JCM 1096 = DSM 20019	1293592		DSM 20019					GCF_004101845.1-RS_2025_04_27	2	2	Complete Genome	22.01.2019		2
GCF_024925465.1	ASM2492546v1	Ralstonia pseudosolanacearum	1310165		LMG 9673					GCF_024925465.1-RS_2024_12_11	2	2	Complete Genome	05.09.2022		2
GCF_000007505.1	ASM750v1	Brucella suis 1330	204722		1330					GCF_000007505.1-RS_2024_08_07	2	2	Complete Genome	03.01.2005		2
GCF_000007365.1	ASM736v1	Buchnera aphidicola str. Sg (Schizaphis graminum)	198804		Sg (ex Schizaphis graminum)					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1	1	Complete Genome	02.07.2002		1
GCF_000012365.1	ASM1236v1	Burkholderia thailandensis E264	271848		E264; ATCC 700388					GCF_000012365.1-RS_2024_12_09	2	2	Complete Genome	17.12.2005		2
GCF_002706795.1	ASM270679v1	Brevibacillus laterosporus DSM 25	1121121		DSM 25					GCF_002706795.1-RS_2025_03_05	1	1	Complete Genome	25.10.2017		1
GCF_000204255.1	ASM20425v1	Chlamydia psittaci 6BC	331636		6BC					GCF_000204255.1-RS_2025_03_30	2	2	Complete Genome	14.04.2011		2
GCF_034479305.1	ASM3447930v1	Shouchella clausii	79880		ATCC 700160					GCF_034479305.1-RS_2024_12_09	1	1	Complete Genome	19.12.2023		1
GCF_900660465.1	50648_A01-3	Mycoplasmoides pneumoniae	2104		NCTC10119					GCF_900660465.1-RS_2024_12_13	2	2	Complete Genome	29.01.2019		2
GCF_900636475.1	42197_F01	Streptococcus anginosus	1328		NCTC10713					GCF_900636475.1-RS_2024_12_13	1	1	Complete Genome	20.12.2018		1
GCF_000015865.1	ASM1586v1	Acetivibrio thermocellus ATCC 27405	203119		ATCC 27405					GCF_000015865.1-RS_2024_08_23	1	1	Complete Genome	14.02.2007		1
GCF_000011905.1	ASM1190v1	Dehalococcoides mccartyi 195	243164		195					GCF_000011905.1-RS_2024_12_09	1	1	Complete Genome	07.01.2005		1
GCF_900637025.1	46338_H01	Streptococcus oralis ATCC 35037	655813		NCTC 11427					GCF_900637025.1-RS_2025_03_16	1	1	Complete Genome	20.12.2018		1
GCF_000236925.1	ASM23692v1	Staphylococcus argenteus	985002		MSHR1132					GCF_000236925.1-RS_2024_12_11	2	2	Complete Genome	10.11.2011		2
GCF_001558415.2	ASM155841v2	Vibrio fluvialis	676		ATCC 33809					GCF_001558415.2-RS_2025_03_05	2	2	Complete Genome	29.01.2018		2
GCF_002155265.1	ASM215526v1	Corynebacterium pseudotuberculosis	1719		ATCC 19410					GCF_002155265.1-RS_2024_08_23	1	1	Complete Genome	22.05.2017		1
GCF_000007985.2	ASM798v2	Geobacter sulfurreducens PCA	243231		PCA					GCF_000007985.2-RS_2024_08_06	1	1	Complete Genome	14.08.2012		1
GCF_040739365.1	DSM6717	Staphylococcus capitis subsp. urealyticus	74703		DSM 6717					GCF_040739365.1-RS_2024_07_17	3	3	Complete Genome	18.07.2024		3
GCF_000010425.1	ASM1042v1	Bifidobacterium adolescentis ATCC 15703	367928		ATCC 15703					GCF_000010425.1-RS_2024_12_11	1	1	Complete Genome	07.12.2006		1
GCF_009183365.2	ASM918336v2	Shewanella algae	38313		CECT-5071					GCF_009183365.2-RS_2025_03_30	1	1	Complete Genome	24.03.2021		1
GCF_020097475.1	ASM2009747v1	Escherichia fergusonii	564		FDAARGOS_1499					GCF_020097475.1-RS_2024_11_06	2	2	Complete Genome	23.09.2021		2
GCF_002813755.1	ASM281375v1	Enterococcus mundtii	53346		DSM 4838					GCF_002813755.1-RS_2025_03_05	2	2	Complete Genome	07.12.2017		2
GCF_000219215.1	ASM21921v1	Cupriavidus necator N-1	1042878		N-1					GCF_000219215.1-RS_2024_12_11	4	4	Complete Genome	24.06.2011		4
GCF_002982115.1	ASM298211v1	Lysinibacillus sphaericus	1421		DSM 28					GCF_002982115.1-RS_2024_08_25	1	1	Complete Genome	08.03.2018		1
GCF_000007805.1	ASM780v1	Pseudomonas syringae pv. tomato str. DC3000	223283		DC3000					GCF_000007805.1-RS_2024_08_08	3	3	Complete Genome	06.03.2003		3
GCF_021216655.1	ASM2121665v1	Clavibacter michiganensis	28447		LMG7333					GCF_021216655.1-RS_2025_03_13	3	3	Complete Genome	16.12.2021		3
GCF_000010125.1	ASM1012v1	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292	342451		ATCC 15305					GCF_000010125.1-RS_2024_12_11	3	3	Complete Genome	20.08.2005		3
GCF_000227465.1	ASM22746v1	Bacillus spizizenii TU-B-10	1052585		TU-B-10					GCF_000227465.1-RS_2024_09_13	1	1	Complete Genome	05.10.2011		1
GCF_900475505.1	42925_G01	Streptococcus sanguinis	1305		NCTC7863					GCF_900475505.1-RS_2024_12_22	1	1	Complete Genome	17.06.2018		1
GCF_000092025.1	ASM9202v1	Agrobacterium fabrum str. C58	176299		C58					GCF_000092025.1-RS_2025_04_23	4	4	Complete Genome	05.11.2007		4
GCF_000021485.1	ASM2148v1	Acidithiobacillus ferrooxidans ATCC 23270	243159		ATCC 23270					GCF_000021485.1-RS_2024_12_11	1	1	Complete Genome	19.12.2008		1
GCF_004063735.1	ASM406373v1	Paracoccus denitrificans	266		ATCC 19367					GCF_004063735.1-RS_2025_04_03	3	3	Complete Genome	20.01.2019		3
GCF_020546685.1	ASM2054668v1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539	243230		ATCC 13939					GCF_020546685.1-RS_2025_05_18	4	4	Complete Genome	25.10.2021		4
GCF_001456255.1	ASM145625v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		ATCC 14048					GCF_001456255.1-RS_2025_04_26	2	2	Complete Genome	03.12.2015		2
GCF_000012825.1	ASM1282v1	Phocaeicola vulgatus ATCC 8482	435590		ATCC 8482					GCF_000012825.1-RS_2025_03_28	1	1	Complete Genome	29.06.2007		1
GCF_000697965.2	ASM69796v2	Ensifer adhaerens	106592		Casida A					GCF_000697965.2-RS_2025_03_05	3	3	Complete Genome	16.06.2016		3
GCF_000590865.3	ASM59086v3	Candidatus Liberibacter asiaticus	34021		A4					GCF_000590865.3-RS_2025_04_25	1	1	Complete Genome	05.11.2019		1
GCF_900476085.1	50569_G01	Mycoplasmoides gallisepticum	2096		NCTC10115					GCF_900476085.1-RS_2024_12_13	1	1	Complete Genome	19.08.2018		1
GCF_018389705.1	ASM1838970v1	Mycoplasma mycoides subsp. capri	40477		PG3					GCF_018389705.1-RS_2024_12_09	1	1	Complete Genome	17.05.2021		1
GCF_005519465.1	ASM551946v1	Streptomyces clavuligerus	1901		ATCC 27064					GCF_005519465.1-RS_2025_05_17	2	2	Complete Genome	20.05.2019		2
GCF_020099335.1	ASM2009933v1	Citrobacter amalonaticus	35703		FDAARGOS_1489					GCF_020099335.1-RS_2024_11_06	3	3	Complete Genome	23.09.2021		3
GCF_900637055.1	46837_E02	Brevibacillus brevis	1393		NCTC2611					GCF_900637055.1-RS_2024_12_11	1	1	Complete Genome	20.12.2018		1
GCF_019916025.1	ASM1991602v1	Paraclostridium bifermentans	1490		DSM 14991					GCF_019916025.1-RS_2024_12_13	5	5	Complete Genome	09.09.2021		5
GCF_019046945.1	ASM1904694v1	Streptococcus gordonii	1302		FDAARGOS 1454					GCF_019046945.1-RS_2024_07_20	1	1	Complete Genome	28.06.2021		1
GCF_001025215.1	ASM102521v1	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	547043		JCM 1200					GCF_001025215.1-RS_2024_12_11	1	1	Complete Genome	24.03.2015		1
GCF_001042655.1	ASM104265v1	Gardnerella vaginalis ATCC 14018 = JCM 11026	585528		JCM 11026					GCF_001042655.1-RS_2024_12_22	1	1	Complete Genome	17.02.2015		1
GCF_017724035.1	ASM1772403v1	Xanthomonas euvesicatoria pv. alfalfae	359387		CFBP3836					GCF_017724035.1-RS_2025_05_05	2	2	Complete Genome	03.04.2021		2
GCF_000960995.1	ASM96099v1	Burkholderia glumae LMG 2196 = ATCC 33617	1176492		ATCC 33617					GCF_000960995.1-RS_2025_04_07	4	4	Complete Genome	24.03.2015		4
GCF_028596125.1	ASM2859612v1	Listeria innocua	1642		ATCC 33090					GCF_028596125.1-RS_2025_03_23	2	2	Complete Genome	12.02.2023		2
GCF_000014025.1	ASM1402v1	Aliarcobacter butzleri RM4018	367737		RM4018					GCF_000014025.1-RS_2025_03_28	1	1	Complete Genome	28.09.2007		1
GCF_048305125.1	ASM4830512v1	Variovorax paradoxus NBRC 15149	1321610		NBRC 15149					GCF_048305125.1-RS_2025_03_05	2	2	Complete Genome	06.03.2025		2
GCF_003367075.2	ASM336707v2	Cylindrospermopsis raciborskii Cr2010	2108055		Cr2010					GCF_003367075.2-RS_2024_12_11	1	1	Complete Genome	24.01.2022		1
GCF_000018525.1	ASM1852v1	Brucella canis ATCC 23365	483179		ATCC 23365					GCF_000018525.1-RS_2024_08_07	2	2	Complete Genome	29.11.2007		2
GCF_004792415.1	ASM479241v1	Pantoea vagans	470934		LMG 24199					GCF_004792415.1-RS_2025_03_22	3	3	Complete Genome	14.04.2019		3
GCF_001006005.1	ASM100600v1	Serratia fonticola	47917		DSM 4576					GCF_001006005.1-RS_2025_04_26	1	1	Complete Genome	11.05.2015		1
GCF_000973705.1	ASM97370v1	Clostridium sporogenes	1509		NCIMB 10696					GCF_000973705.1-RS_2025_03_28	1	1	Complete Genome	20.04.2015		1
GCF_044361425.1	ASM4436142v1	Bacteroides uniformis	820		JCM5828					GCF_044361425.1-RS_2025_03_31	1	1	Complete Genome	06.11.2024		1
GCF_016406325.1	ASM1640632v1	Shewanella putrefaciens	24		ATCC 8071					GCF_016406325.1-RS_2024_12_13	1	1	Complete Genome	27.12.2020		1
GCF_003049785.1	ASM304978v1	Dickeya dadantii	204038		DSM 18020					GCF_003049785.1-RS_2024_08_07	1	1	Complete Genome	12.04.2018		1
GCF_000009765.2	ASM976v2	Streptomyces avermitilis MA-4680 = NBRC 14893	227882		MA-4680					GCF_000009765.2-RS_2025_03_28	2	2	Complete Genome	24.03.2016		2
GCF_000196175.1	ASM19617v1	Bdellovibrio bacteriovorus HD100	264462		HD100					GCF_000196175.1-RS_2024_12_11	1	1	Complete Genome	10.02.2004		1
GCF_028885435.1	ASM2888543v1	Mesomycoplasma ovipneumoniae ATCC 29419	743968		Y98					GCF_028885435.1-RS_2025_02_27	1	1	Complete Genome	28.02.2023		1
GCF_000422085.1	ASM42208v1	Serratia liquefaciens ATCC 27592	1346614		ATCC 27592					GCF_000422085.1-RS_2024_12_09	2	2	Complete Genome	11.07.2013		2
GCF_001632805.1	ASM163280v1	Mycobacteroides chelonae CCUG 47445	1460372		CCUG 47445					GCF_001632805.1-RS_2025_03_16	1	1	Complete Genome	27.04.2016		1
GCF_000012765.1	ASM1276v1	Mycoplasma capricolum subsp. capricolum ATCC 27343	340047		ATCC 27343					GCF_000012765.1-RS_2024_12_13	1	1	Complete Genome	08.12.2005		1
GCF_900475375.1	42685_B01	Elizabethkingia meningoseptica	238		NCTC10016					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1	1	Complete Genome	17.06.2018		1
GCF_001314995.1	ASM131499v1	Bacteroides ovatus	28116		ATCC 8483					GCF_001314995.1-RS_2025_01_08	1	1	Complete Genome	15.10.2015		1
GCF_018314255.1	ASM1831425v1	Lentilactobacillus buchneri	1581		ATCC 4005					GCF_018314255.1-RS_2025_05_22	2	2	Complete Genome	10.05.2021		2
GCF_000062885.1	ASM6288v1	Saccharopolyspora erythraea NRRL 2338	405948		NRRL 2338					GCF_000062885.1-RS_2025_04_07	1	1	Complete Genome	21.03.2007		1
GCF_000157895.3	ASM15789v2	Mycobacterium kansasii ATCC 12478	557599		ATCC 12478					GCF_000157895.3-RS_2025_03_29	2	2	Complete Genome	01.11.2013		2
GCF_021278985.1	ASM2127898v1	Citrobacter rodentium NBRC 105723 = DSM 16636	1218085		DSM 16636					GCF_021278985.1-RS_2025_03_28	2	2	Complete Genome	23.12.2021		2
GCF_900475975.1	46931_F01	Streptococcus intermedius	1338		NCTC11324					GCF_900475975.1-RS_2024_12_13	1	1	Complete Genome	17.06.2018		1
GCF_003343245.1	ASM334324v1	Photorhabdus laumondii subsp. laumondii	141679		TT01					GCF_003343245.1-RS_2025_04_01	1	1	Complete Genome	26.07.2018		1
GCF_008639165.1	ASM863916v1	Streptomyces venezuelae ATCC 10712	953739		ATCC 10712					GCF_008639165.1-RS_2025_04_23	1	1	Complete Genome	23.09.2019		1
GCF_009831375.1	ASM983137v1	Mediterraneibacter gnavus ATCC 29149	411470		ATCC 29149					GCF_009831375.1-RS_2024_12_13	1	1	Complete Genome	06.01.2020		1
GCF_023278185.1	ASM2327818v1	Bradyrhizobium elkanii USDA 76	398525		USDA 76					GCF_023278185.1-RS_2025_03_31	2	2	Complete Genome	09.05.2022		2
GCF_002243645.1	ASM224364v1	Peribacillus simplex NBRC 15720 = DSM 1321	1349754		DSM 1321					GCF_002243645.1-RS_2025_03_13	1	1	Complete Genome	08.08.2017		1
GCF_000969765.1	ASM96976v1	Mycoplasmopsis synoviae ATCC 25204	1267001		WVU1853T					GCF_000969765.1-RS_2024_12_13	1	1	Complete Genome	07.04.2015		1
GCF_002355775.1	ASM235577v1	Mycobacterium ulcerans subsp. shinshuense	1124626		ATCC 33728					GCF_002355775.1-RS_2025_03_30	2	2	Complete Genome	04.08.2016		2
GCF_900324475.1	EB-247	Enterobacter bugandensis	881260					EB-247		GCF_900324475.1-RS_2024_12_13	1	1	Complete Genome	04.04.2018		1
GCF_001028665.1	ASM102866v1	Burkholderia pyrrocinia	60550		DSM 10685					GCF_001028665.1-RS_2025_03_27	4	4	Complete Genome	12.06.2015		4
GCF_900475595.1	44343_G01	Streptococcus uberis	1349		NCTC3858					GCF_900475595.1-RS_2024_12_13	1	1	Complete Genome	17.06.2018		1
GCF_033956065.1	ASM3395606v1	Burkholderia mallei	13373		ATCC 23344					GCF_033956065.1-RS_2024_11_29	2	2	Complete Genome	27.11.2023		2
GCF_019930925.1	ASM1993092v1	Bartonella henselae	38323		FDAARGOS_1462					GCF_019930925.1-RS_2024_12_09	1	1	Complete Genome	12.09.2021		1
